team,total_matches,wins,win_pct
Lucknow Super Giants,22,16,72.73
Rising Pune Supergiant,7,5,71.43
Chennai Super Kings,128,75,58.59
Mumbai Indians,123,70,56.91
Delhi Capitals,41,23,56.1
Rajasthan Royals,101,55,54.46
Kolkata Knight Riders,121,65,53.72
Gujarat Titans,21,11,52.38
Sunrisers Hyderabad,86,44,51.16
Royal Challengers Bangalore,132,66,50.0
Kings XI Punjab,92,43,46.74
Delhi Daredevils,84,38,45.24
Royal Challengers Bengaluru,9,4,44.44
Kochi Tuskers Kerala,7,3,42.86
Punjab Kings,31,11,35.48
Deccan Chargers,39,13,33.33
Gujarat Lions,16,5,31.25
Rising Pune Supergiants,7,2,28.57
Pune Warriors,23,6,26.09
